"article","doi","prefix","accession","regex_pattern","status"
"Art1","10.1126/science.1256688","SRP","SRP043706","SRP\d{6,9}","detected"
"Art10","10.1111/mec.14061","SRP","SRP042134","SRP\d{6,9}","detected"
"Art11","10.1093/femsec/fix045","PRJNA","PRJNA379981","PRJNA\d{5,9}","detected"
"Art12","10.1111/1365-2435.12343","","NOT DETECTED","","not detected"
"Art13","10.1111/nph.14249","SRP","SRP083901","SRP\d{6,9}","detected"
"Art14","10.1098/rspb.2016.2093","SRP","SRP076949","SRP\d{6,9}","detected"
"Art15","10.1002/ece3.2974","PRJNA","PRJNA339563","PRJNA\d{5,9}","detected"
"Art16","10.1073/pnas.1508382112","SRP","SRP052716","SRP\d{6,9}","detected"
"Art16","10.1073/pnas.1508382112","PRJNA","PRJNA272747","PRJNA\d{5,9}","detected"
"Art17","10.1038/ismej.2013.41","","NOT DETECTED","","not detected"
"Art18","10.1111/nph.13226","","NOT DETECTED","","not detected"
"Art19","10.1128/AEM.71.9.5544-5550.2005","","NOT DETECTED","","not detected"
"Art2","10.1111/j.1574-6941.2012.01437.x","","NOT DETECTED","","not detected"
"Art20","10.1371/journal.pone.0097629","SRP","SRP026207","SRP\d{6,9}","detected"
"Art21","10.1111/ele.12459","SRP","SRP057798","SRP\d{6,9}","detected"
"Art22","10.1111/nph.12532","SRS","SRS010093","SRS\d{6,9}","detected"
"Art22","10.1111/nph.12532","SRX","SRX153137","SRX\d{6,9}","detected"
"Art22","10.1111/nph.12532","ERP","ERP001860","ERP\d{6,9}","detected"
"Art22","10.1111/nph.12532","ERP","ERP001442","ERP\d{6,9}","detected"
"Art23","10.1371/journal.pone.0090234","SRP","SRP035367","SRP\d{6,9}","detected"
"Art24","10.1093/femsec/fiw156","SRP","SRP059280","SRP\d{6,9}","detected"
"Art24","10.1093/femsec/fiw156","PRJNA","PRJNA269650","PRJNA\d{5,9}","detected"
"Art25","10.1073/pnas.1209872109","SRX","SRX153137","SRX\d{6,9}","detected"
"Art3","10.1111/nph.13315","PRJNA","PRJNA253816","PRJNA\d{5,9}","detected"
"Art4","10.1126/science.1232728","SRP","SRP016090","SRP\d{6,9}","detected"
"Art5","10.1111/1755-0998.12065","","NOT DETECTED","","not detected"
"Art6","10.1038/ismej.2013.28","","NOT DETECTED","","not detected"
"Art7","10.1111/j.1365-294X.2010.04898.x","SRS","SRS010093","SRS\d{6,9}","detected"
"Art8","10.1073/pnas.1000454107","SRS","SRS010093","SRS\d{6,9}","detected"
"Art8","10.1073/pnas.1000454107","SRS","SRS010094","SRS\d{6,9}","detected"
"Art9","10.1038/s41598-018-22380-z","","NOT DETECTED","","not detected"
